# Purpose: compare stored GEOS kro with Thomas Table 3 and Eq. (25) at 2.5 years.
subregion,height_m,volume_m3,oil_saturation,gas_saturation,water_saturation,geos_oil_relperm,thomas_eq25_oil_relperm,geos_minus_thomas,geos_over_thomas
m_1_5_5,2.4387048,0.05663369318399997,0.27338612338827684,0.526232958707863,0.2003809179038602,0.012518687210799129,0.012879578405216474,-0.0003608911944173454,0.9719795801490538
m_1_5_6,2.8959048000000003,0.02831684659199992,0.25397049215272166,0.5457175434457734,0.20031196440150514,0.0015886155268769464,0.002019127291763456,-0.0004305117648865098,0.7867832470777455
m_2_1_1,0.1527048,0.056633693184,0.7983025523640771,0.0012122283302487197,0.20048521930567437,0.9945056029878883,0.995009227126116,-0.0005036241382276874,0.9994938497809892
m_2_1_2,0.6099048,0.11326738636800003,0.5290964604319405,0.27048724448093403,0.20041629508712558,0.30779485216679753,0.30853834748782855,-0.000743495321031018,0.9975902660817215
m_2_1_3,1.2195047999999997,0.11326738636799999,0.3555372786697851,0.44405695075831736,0.2004057705718974,0.07310459466508262,0.07348570734128118,-0.0003811126761985584,0.9948137850204176
m_2_1_4,1.8291047999999999,0.11326738636799999,0.30025990033177985,0.49934650413385645,0.20039359553436364,0.02771434197581596,0.028137575672735116,-0.00042323369691915635,0.9849584163951529
m_2_1_5,2.4387048,0.11326738636800011,0.27341585873346547,0.5262032736886967,0.20038086757783743,0.012535433711795052,0.012896308885167629,-0.0003608751733725768,0.9720171735505165
m_2_1_6,2.8959048000000003,0.05663369318399994,0.25398300421856074,0.5457050059578202,0.20031198982361917,0.0015956612197769449,0.0020261347166269372,-0.00043047349684999237,0.7875395484231992
m_2_2_1,0.1527048,0.11326738636800003,0.797395469263526,0.0021192314792209746,0.20048529925725295,0.9917834697172663,0.9922913816529852,-0.0005079119357189743,0.9994881423490015
m_2_2_2,0.6099048,0.22653477273600006,0.526171587759326,0.27341259728851086,0.20041581495216304,0.3019467192291041,0.3026930316571361,-0.0007463124280320255,0.9975344248133291
m_2_2_3,1.2195047999999997,0.22653477273600003,0.35547875553498554,0.4441157999255425,0.2004054445394721,0.07305656262753066,0.0734377379706865,-0.00038117534315584845,0.994809544061556
m_2_2_4,1.8291047999999999,0.226534772736,0.3003291684620306,0.4992774377927419,0.20039339374522744,0.027771237510560817,0.028194442145525023,-0.00042320463496420616,0.9849897851221938
m_2_2_5,2.4387048,0.22653477273600028,0.273438858733776,0.5261804098965623,0.2003807313696616,0.012548392685073961,0.012909304882712636,-0.0003609121976386742,0.9720424762667131
m_2_2_6,2.8959048000000003,0.11326738636799989,0.2540032679544694,0.5456847639117874,0.200311968133743,0.0016070754571107515,0.002037524577468419,-0.0004304491203576677,0.7887391763919277
m_2_3_1,0.1527048,0.22653477273599998,0.7974078935281996,0.002106372076317112,0.20048573439548267,0.9918207542537343,0.9923287005057374,-0.0005079462520031219,0.9994881270170416
m_2_3_2,0.6099048,0.453069545472,0.5278233029057772,0.27176136095675557,0.20041533613746748,0.30524927784656847,0.3059933370753969,-0.0007440592288284198,0.9975683809460038
m_2_3_3,1.2195047999999997,0.45306954547199985,0.3559710976584103,0.4436239195517181,0.20040498278987165,0.07346085958469212,0.07384172535181002,-0.000380865767117905,0.9948421334238424
m_2_3_4,1.8291047999999999,0.45306954547199985,0.30077169894681327,0.49883506171807057,0.20039323933511594,0.0281346501974703,0.028557525250587634,-0.0004228750531173331,0.985192167409232
m_2_3_5,2.4387048,0.4530695454720003,0.27356871663646093,0.5260506184245324,0.20038066493900672,0.012621517610708344,0.012982281850301591,-0.00036076423959324755,0.9722110300983131
m_2_3_6,2.8959048000000003,0.2265347727359997,0.25402926695149175,0.5456584871441577,0.20031224590435012,0.0016217033066775464,0.0020519384369275806,-0.00043023513025003423,0.7903274666981549
m_2_4_1,0.1527048,0.1132673863680001,0.7973954692635262,0.0021192314792185343,0.20048529925725528,0.991783469717267,0.9922913816529859,-0.0005079119357188633,0.9994881423490016
m_2_4_2,0.6099048,0.22653477273600023,0.5261715877595948,0.2734125972882391,0.20041581495216626,0.3019467192296413,0.3026930316576754,-0.0007463124280341349,0.9975344248133265
m_2_4_3,1.2195047999999997,0.2265347727360002,0.3554787555350903,0.4441157999254343,0.20040544453947542,0.07305656262761642,0.0734377379707721,-0.0003811753431556819,0.9948095440615643
m_2_4_4,1.8291047999999999,0.22653477273600015,0.30032916846217655,0.4992774377925993,0.20039339374522394,0.027771237510680835,0.028194442145645537,-0.0004232046349647023,0.9849897851222403
m_2_4_5,2.4387048,0.22653477273600042,0.27343885873384105,0.5261804098964957,0.20038073136966295,0.012548392685110432,0.012909304882748551,-0.0003609121976381191,0.9720424762668339
m_2_4_6,2.8959048000000003,0.11326738636799996,0.2540032679544917,0.5456847639117651,0.20031196813374313,0.001607075457123297,0.002037524577480798,-0.00043044912035750116,0.7887391763932929
m_2_5_1,0.1527048,0.05663369318399991,0.7983025523640813,0.001212228330244784,0.20048521930567423,0.9945056029879008,0.995009227126128,-0.0005036241382272433,0.9994938497809897
m_2_5_2,0.6099048,0.11326738636799982,0.5290964604321565,0.27048724448071776,0.20041629508712563,0.30779485216722946,0.30853834748826064,-0.0007434953210311845,0.9975902660817243
m_2_5_3,1.2195047999999997,0.11326738636799982,0.3555372786699066,0.44405695075819507,0.2004057705718987,0.0731045946651823,0.07348570734138024,-0.00038111267619794775,0.9948137850204329
m_2_5_4,1.8291047999999999,0.11326738636799981,0.3002599003319244,0.4993465041337124,0.20039359553436323,0.027714341975934753,0.0281375756728538,-0.00042323369691904533,0.9849584163952203
m_2_5_5,2.4387048,0.11326738636799993,0.2734158587335552,0.5262032736886088,0.20038086757783605,0.012535433711845678,0.012896308885218588,-0.00036087517337290986,0.9720171735506014
m_2_5_6,2.8959048000000003,0.05663369318399984,0.25398300421858483,0.5457050059577946,0.20031198982362033,0.001595661219790434,0.0020261347166398713,-0.00043047349684943725,0.7875395484248294
m_3_1_1,0.1527048,0.11326738636799996,0.7983100045688281,0.0012043774126441935,0.200485618018528,0.994527966729182,0.9950316378646218,-0.0005036711354398093,0.9994938139489506
m_3_1_2,0.6099048,0.22653477273599992,0.5313158664618572,0.26826796450662815,0.20041616903151463,0.31223250384679785,0.3129733892003434,-0.0007408853535455506,0.9976327528821587
m_3_1_3,1.2195047999999997,0.2265347727359999,0.3560615511433416,0.44353287954973547,0.2004055693069231,0.07353509240352754,0.07391585605453507,-0.00038076365100753184,0.9948486878008068
m_3_1_4,1.8291047999999999,0.2265347727359999,0.30066987274505264,0.49893651116551624,0.20039361608943113,0.028051006958987604,0.02847391468219912,-0.0004229077232115151,0.9851475384424081
m_3_1_5,2.4387048,0.22653477273600015,0.2735270888743253,0.5260919819258421,0.2003809291998322,0.012598062114726971,0.012958750445933087,-0.000360688331206116,0.9721664266388189
m_3_1_6,2.8959048000000003,0.11326738636799985,0.2539837512800511,0.545703933932118,0.2003123147878307,0.0015960639460760873,0.0020263417079647295,-0.0004302777618886422,0.7876578465530298
m_3_2_1,0.1527048,0.22653477273599998,0.7974078935281961,0.00210637207632122,0.20048573439548287,0.9918207542537236,0.9923287005057245,-0.0005079462520009015,0.9994881270170438
m_3_2_2,0.6099048,0.45306954547200007,0.5278233029050732,0.2717613609574607,0.20041533613746604,0.3052492778451609,0.30599333707398946,-0.0007440592288285308,0.9975683809459922
m_3_2_3,1.2195047999999997,0.4530695454719999,0.3559710976582216,0.44362391955190666,0.20040498278987173,0.07346085958453719,0.07384172535165523,-0.00038086576711804376,0.9948421334238298
m_3_2_4,1.8291047999999999,0.4530695454719998,0.3007716989465649,0.4988350617183194,0.2003932393351158,0.0281346501972663,0.02855752525038363,-0.0004228750531173296,0.9851921674091263
m_3_2_5,2.4387048,0.4530695454720005,0.27356871663630006,0.5260506184246949,0.2003806649390048,0.012621517610617916,0.012982281850212385,-0.0003607642395944688,0.972211030098028
m_3_2_6,2.8959048000000003,0.22653477273599973,0.2540292669513533,0.5456584871442971,0.20031224590434948,0.001621703306599609,0.0020519384368500315,-0.0004302351302504226,0.7903274666900414
m_3_3_1,0.1527048,0.45306954547199985,0.7974247383493022,0.002088937391314783,0.200486324259383,0.9918713046452415,0.9923792972574377,-0.0005079926121961398,0.9994881063988336
m_3_3_2,0.6099048,0.9061390909439997,0.5303304355055449,0.2692553549088865,0.2004142095855686,0.31026227407779094,0.31100254193738586,-0.0007402678595949119,0.9976197369481824
m_3_3_3,1.2195047999999997,0.9061390909439996,0.35661720337240094,0.4429788363994333,0.2004039602281661,0.07399145004694938,0.07437193719902085,-0.0003804871520714792,0.994883995678998
m_3_3_4,1.8291047999999999,0.9061390909439995,0.30142751308872173,0.498179721492312,0.20039276541896614,0.02867322994196253,0.02909564764401351,-0.00042241770205098117,0.9854817563362301
m_3_3_5,2.4387048,0.9061390909440005,0.27378808338863464,0.5258315834738022,0.20038033313756334,0.012745058988976765,0.013105684558933128,-0.0003606255699563632,0.9724832710313821
