density [kg/m3],temperature [C] = 26,temperature [C] = 36,temperature [C] = 46,temperature [C] = 56,temperature [C] = 66,temperature [C] = 76,temperature [C] = 86,temperature [C] = 96
pressure [Pa] = 37500000,1016.4252540535531,1016.6539754659091,1016.8827483463728,1017.111572706526,1017.3404485579528,1017.5693759122398,1017.7983547809768,1018.0273851757556
pressure [Pa] = 38000000,1018.2564671081713,1018.4856005898206,1018.7147856323037,1018.944022247223,980.3653000969542,980.585907106834,980.8065637588755,981.0272700642495
pressure [Pa] = 38500000,981.2480260341292,981.4688316796904,981.6896870121116,981.9105920425732,982.131546782259,982.3525512423544,982.5736054340477,982.7947093685303
pressure [Pa] = 39000000,983.0158630569952,983.2370665106384,983.4583197406583,983.6796227582558,983.9009755746343,984.1223782010001,984.3438306485614,984.5653329285295
pressure [Pa] = 39500000,984.7868850521174,985.008487030542,985.2301388750212,985.4518405967766,985.6735922070314,985.8953937170121,986.1172451379474,986.3391464810683
pressure [Pa] = 40000000,986.5610977576088,986.7830989788052,987.0051501558961,987.2272513001228,987.4494024227295,987.6716035349624,987.8938546480703,988.1161557733047
pressure [Pa] = 40500000,988.33850692192,988.5609081051722,988.7833593343208,989.0058606206269,989.2284119753552,989.4510134097719,989.6736649351465,989.8963665627504
pressure [Pa] = 41000000,990.1191183038582,990.3419201697465,990.5647721716948,990.7876743209847,991.0106266289012,991.2336291067306,991.4566817657627,991.6797846172896
pressure [Pa] = 41500000,991.9029376726057,992.1261409430083,992.3493944397972,992.5726981742741,992.7960521577442,993.0194564015146,993.2429109168952,993.4664157151985
pressure [Pa] = 42000000,993.6899708077392,993.9135762058348,994.1372319208054,994.3609379639739,994.5846943466648,994.8085010802062,995.0323581759282,995.2562656451635
pressure [Pa] = 42500000,995.4802234992472,995.7042317495177,995.9282904073152,996.1523994839823,996.3765589908652,996.6007689393115,996.8250293406718,997.0493402062996
pressure [Pa] = 43000000,997.2737015475504,997.4981133757824,997.7225757023568,997.9470885386368,998.1716518959881,998.3962657857799,998.6209302193828,998.8456452081704
pressure [Pa] = 43500000,999.0704107635187,999.2952268968071,999.5200936194166,999.7450109427309,999.9699788781367,1000.194997437023,1000.4200666307811,1000.6451864708052
pressure [Pa] = 44000000,1000.8703569684922,1001.0955781352412,1001.3208499824542,1001.5461725215353,1001.7715457638914,1001.9969697209325,1002.2224444040703,1002.4479698247196
pressure [Pa] = 44500000,1002.6735459942977,1002.8991729242242,1003.1248506259213,1003.3505791108146,1003.5763583903308,1003.8021884759006,1004.0280693789565,1004.2540011109335
pressure [Pa] = 45000000,1004.4799836832692,1004.7060171074048,1004.9321013947824,1005.158236556848,1005.3844226050495,1005.6106595508376,1005.8369474056656,1006.0632861809892
pressure [Pa] = 45500000,1006.2896758882669,1006.5161165389596,1006.7426081445309,1006.9691507164472,1007.1957442661768,1007.4223888051911,1007.6490843449641,1007.8758308969724
pressure [Pa] = 46000000,1008.1026284726945,1008.3294770836126,1008.5563767412106,1008.7833274569756,1009.0103292423966,1009.2373821089657,1009.4644860681775,1009.6916411315292
pressure [Pa] = 46500000,1009.9188473105204,1010.1461046166535,1010.3734130614333,1010.6007726563673,1010.8281834129658,1011.0556453427412,1011.283158457209,1011.5107227678866
pressure [Pa] = 47000000,1011.738338286295,1011.966005023957,1012.1937229923982,1012.4214922031466,1012.6493126677335,1012.8771843976921,1013.1051074045582,1013.3330816998707
pressure [Pa] = 47500000,1013.5611072951707,974.598532327713,974.8178416688623,975.0372003601653,975.2566084127266,975.476065837654,975.6955726460573,975.9151288490493
pressure [Pa] = 48000000,976.1347344577447,976.3543894832616,976.5740939367194,976.793847829241,977.0136511719512,977.2335039759778,977.4534062524509,977.6733580125027
pressure [Pa] = 48500000,977.8933592672686,978.113410027886,978.333510305495,978.5536601112381,978.7738594562604,978.9941083517098,979.2144068087358,979.4347548384915
pressure [Pa] = 49000000,979.6551524521319,979.8755996608147,980.0960964756997,980.31664290795,980.5372389687305,980.7578846692088,980.9785800205555,981.1993250339428
pressure [Pa] = 49500000,981.4201197205462,981.6409640915434,981.8618581581146,982.0828019314425,982.3037954227126,982.5248386431124,982.7459316038324,982.9670743160656
pressure [Pa] = 50000000,983.188266791007,983.4095090398546,983.6308010738088,983.8521429040725,984.0735345418511,984.2949759983528,984.5164672847876,984.7380084123688
pressure [Pa] = 50500000,984.9595993923122,985.1812402358353,985.4029309541588,985.6246715585062,985.8464620601026,986.0683024701764,986.2901927999582,986.5121330606811
pressure [Pa] = 51000000,986.734123263581,986.9561634198961,987.1782535408673,987.4003936377378,987.6225837217532,987.8448238041624,988.0671138962159,988.2894540091672
pressure [Pa] = 51500000,988.5118441542725,988.7342843427899,988.9567745859808,989.1793148951085,989.4019052814394,989.6245457562418,989.8472363307873,990.0699770163491
pressure [Pa] = 52000000,990.2927678242037,990.51560876563,990.7384998519092,990.9614410943251,991.1844325041642,991.4074740927152,991.6305658712702,991.8537078511225
pressure [Pa] = 52500000,992.0769000435691,992.300142459909,992.5234351114437,992.7467780094776,992.9701711653172,993.1936145902722,993.417108295654,993.6406522927771
pressure [Pa] = 53000000,993.8642465929585,994.0878912075174,994.3115861477761,994.5353314250592,994.7591270506936,994.9829730360091,995.2068693923377,995.4308161310142
pressure [Pa] = 53500000,995.6548132633761,995.878860800763,996.1029587545178,996.3271071359846,996.5513059565118,996.775555227449,996.9998549601488,997.2242051659665
pressure [Pa] = 54000000,997.4486058562597,997.6730570423889,997.897558735717,998.1221109476089,998.346713689433,998.5713669725599,998.7960708083622,999.0208252082159
